time	line	instance	edges	omega	degree	minloops	maxloops	pimin	lambda	[lambda>0]	mix	leigen	ueigen	ucanon	
(60h:43m:05s)	11106	5,5,5,3,1,0;5,5,3,3,3,0	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:05s)	11107	5,5,5,3,1,0;5,4,4,3,3,0	19	1	441	441	441	1	NA	NA	0	NA	NA	NA	
(60h:43m:05s)	11108	5,5,5,3,1,0;4,4,4,4,3,0	19	4	441	438	438	1/4	0.99093	1	727	339.473	914.419	914.419	
(60h:43m:05s)	11109	5,5,5,3,1,0;6,6,4,1,1,1	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:05s)	11110	5,5,5,3,1,0;6,5,5,1,1,1	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:05s)	11111	5,5,5,3,1,0;6,6,3,2,1,1	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:05s)	11112	5,5,5,3,1,0;6,5,4,2,1,1	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:05s)	11113	5,5,5,3,1,0;5,5,5,2,1,1	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:05s)	11114	5,5,5,3,1,0;6,5,3,3,1,1	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:05s)	11115	5,5,5,3,1,0;6,4,4,3,1,1	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:05s)	11116	5,5,5,3,1,0;5,5,4,3,1,1	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:05s)	11117	5,5,5,3,1,0;5,4,4,4,1,1	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:05s)	11118	5,5,5,3,1,0;6,6,2,2,2,1	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:05s)	11119	5,5,5,3,1,0;6,5,3,2,2,1	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:05s)	11120	5,5,5,3,1,0;6,4,4,2,2,1	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:05s)	11121	5,5,5,3,1,0;5,5,4,2,2,1	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:05s)	11122	5,5,5,3,1,0;6,4,3,3,2,1	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:05s)	11123	5,5,5,3,1,0;5,5,3,3,2,1	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:05s)	11124	5,5,5,3,1,0;5,4,4,3,2,1	19	3	441	439	439	1/3	0.993197	1	953	453.666	1176.94	1176.94	
(60h:43m:05s)	11125	5,5,5,3,1,0;4,4,4,4,2,1	19	12	441	436	436	1/12	0.993197	1	953	453.666	1380.72	2416.26	
(60h:43m:05s)	11126	5,5,5,3,1,0;6,3,3,3,3,1	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:05s)	11127	5,5,5,3,1,0;5,4,3,3,3,1	19	10	441	432	436	1/10	0.99093	1	745	339.473	1015.44	3655.58	
(60h:43m:05s)	11128	5,5,5,3,1,0;4,4,4,3,3,1	19	37	441	423	433	1/37	0.990392	1	707	320.311	1094.82	6644.67	
(60h:43m:05s)	11129	5,5,5,3,1,0;6,5,2,2,2,2	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:05s)	11130	5,5,5,3,1,0;6,4,3,2,2,2	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
