time	line	instance	edges	omega	degree	minloops	maxloops	pimin	lambda	[lambda>0]	mix	leigen	ueigen	ucanon	
(0h:00m:22s)	124	4,4,2,1;3,3,3,1,1	11	6	150	147	147	1/6	0.986667	1	463	229.94	652.464	1087.44	
(0h:00m:22s)	125	4,4,2,1;3,3,2,2,1	11	19	150	140	144	1/19	0.978554	1	295	141.782	459.394	1477.83	
(0h:00m:22s)	126	4,4,2,1;3,2,2,2,2	11	48	150	140	141	1/48	0.970907	1	223	103.697	370.495	1448.42	
(0h:00m:22s)	127	4,3,3,1;3,3,3,1,1	11	17	150	140	144	1/17	0.97848	1	289	141.284	452.648	1289.25	
(0h:00m:22s)	128	4,3,3,1;3,3,2,2,1	11	36	150	139	142	1/36	0.972736	1	242	110.862	384.797	1355.12	
(0h:00m:22s)	129	4,3,3,1;3,2,2,2,2	11	78	150	139	139	1/78	0.96588	1	198	87.9629	330.144	1949.62	
(0h:00m:22s)	130	4,3,2,2;3,3,3,1,1	11	30	150	141	143	1/30	0.977077	1	279	132.447	449.721	1597.89	
(0h:00m:22s)	131	4,3,2,2;3,3,2,2,1	11	65	150	137	139	1/65	0.969728	1	214	99.5388	366.085	1508.88	
(0h:00m:22s)	132	4,3,2,2;3,2,2,2,2	11	136	150	135	137	1/136	0.962213	1	174	79.1239	312.814	2020.77	
(0h:00m:22s)	133	3,3,3,2;3,3,3,2	11	27	100	92	93	1/27	0.957321	1	158	69.6982	239.075	793.613	
(0h:00m:22s)	134	3,3,3,2;3,3,3,1,1	11	64	150	132	136	1/64	0.968709	1	210	96.1946	353.663	1452.5	
(0h:00m:22s)	135	3,3,3,2;3,3,2,2,1	11	120	150	134	137	1/120	0.963766	1	184	82.6495	322.771	1842	
(0h:00m:22s)	136	3,3,3,2;3,2,2,2,2	11	234	150	130	133	1/234	0.957209	1	159	69.5085	288.918	2456.77	
(0h:00m:22s)	137	4,4,1,1,1;4,3,2,1,1	11	6	225	222	222	1/6	0.991111	1	697	346.464	978.695	1631.16	
(0h:00m:22s)	138	4,4,1,1,1;3,3,3,1,1	11	12	225	221	221	1/12	0.991111	1	697	346.464	1056.67	2289.46	
(0h:00m:23s)	139	4,4,1,1,1;4,2,2,2,1	11	23	225	215	218	1/23	0.985915	1	441	217.509	713.063	4224.71	
(0h:00m:23s)	140	4,4,1,1,1;3,3,2,2,1	11	42	225	214	217	1/42	0.98534	1	430	208.855	726.168	2908.48	
(0h:00m:23s)	141	4,4,1,1,1;3,2,2,2,2	11	109	225	213	213	1/109	0.979343	1	316	147.32	561.521	2274.59	
(0h:00m:23s)	142	4,3,2,1,1;4,3,2,1,1	11	34	225	215	218	1/34	0.984793	1	437	201.223	686.126	2278.63	
(0h:00m:23s)	143	4,3,2,1,1;3,3,3,1,1	11	69	225	213	215	1/69	0.984238	1	401	194.027	706.866	3051.9	
(0h:00m:23s)	144	4,3,2,1,1;4,2,2,2,1	11	76	225	213	214	1/76	0.981788	1	351	167.515	617.105	3160.82	
(0h:00m:23s)	145	4,3,2,1,1;3,3,2,2,1	11	148	225	210	213	1/148	0.979242	1	322	146.581	573.498	3185.38	
(0h:00m:23s)	146	4,3,2,1,1;3,2,2,2,2	11	306	225	206	209	1/306	0.974082	1	261	116.783	487.36	4170.2	
(0h:00m:23s)	147	3,3,3,1,1;3,3,3,1,1	11	146	225	206	212	1/146	0.976618	1	293	129.787	508.572	3426.91	
(0h:00m:24s)	148	3,3,3,1,1;4,2,2,2,1	11	138	225	212	212	1/138	0.981761	1	341	167.258	648.883	2875.14	
(0h:00m:24s)	149	3,3,3,1,1;3,3,2,2,1	11	276	225	207	209	1/276	0.974669	1	268	119.56	494.574	3043.52	
(0h:00m:25s)	150	3,3,3,1,1;3,2,2,2,2	11	528	225	204	206	1/528	0.971204	1	238	104.798	457.586	4750.4	
(0h:00m:25s)	151	4,2,2,2,1;4,2,2,2,1	11	147	225	211	212	1/147	0.977778	1	298	136.721	535.418	3004.9	
(0h:00m:25s)	152	4,2,2,2,1;3,3,2,2,1	11	273	225	207	209	1/273	0.976326	1	273	128.148	528.738	3445.68	
(0h:00m:26s)	153	4,2,2,2,1;3,2,2,2,2	11	528	225	205	206	1/528	0.971144	1	237	104.576	456.641	3464.54	
(0h:00m:26s)	154	3,3,2,2,1;3,3,2,2,1	11	506	225	201	206	1/506	0.972091	1	247	108.231	470.615	3480.85	
(0h:00m:28s)	155	3,3,2,2,1;3,2,2,2,2	11	934	225	204	204	1/934	0.968806	1	219	96.5036	440.695	4480.73	
(0h:00m:32s)	156	3,2,2,2,2;3,2,2,2,2	11	1656	225	200	200	1/1656	0.96361	1	200	82.2825	393.516	3764.81	
(0h:00m:32s)	157	4,4,3,1;3,3,3,2,1	12	18	150	139	144	1/18	0.977619	1	283	135.729	437.786	1388.07	
(0h:00m:32s)	158	4,4,3,1;3,3,2,2,2	12	39	150	140	142	1/39	0.970749	1	231	103.123	361.404	1545.04	
(0h:00m:32s)	159	4,4,2,2;3,3,3,2,1	12	30	150	140	142	1/30	0.977077	1	276	132.447	449.721	1597.89	
(0h:00m:32s)	160	4,4,2,2;3,3,2,2,2	12	68	150	139	139	1/68	0.969073	1	208	97.3644	359.789	1497.27	
(0h:00m:32s)	161	4,3,3,2;3,3,3,2,1	12	58	150	135	141	1/58	0.969834	1	220	99.8981	363.59	1418.3	
(0h:00m:32s)	162	4,3,3,2;3,3,2,2,2	12	117	150	134	138	1/117	0.963005	1	181	80.8848	315.444	1690.64	
(0h:00m:32s)	163	3,3,3,3;3,3,3,3	12	24	100	94	94	1/24	0.96	1	173	74.5753	252.145	966.557	
(0h:00m:32s)	164	3,3,3,3;3,3,3,2,1	12	108	150	136	136	1/108	0.964087	1	185	83.4157	322.721	1738.48	
(0h:00m:33s)	165	3,3,3,3;3,3,2,2,2	12	204	150	135	135	1/204	0.956297	1	162	67.9931	279.749	2310.33	
(0h:00m:33s)	166	4,4,2,1,1;4,4,2,1,1	12	4	225	223	223	1/4	0.991111	1	697	346.464	933.081	1399.62	
(0h:00m:33s)	167	4,4,2,1,1;4,3,3,1,1	12	10	225	221	221	1/10	0.991111	1	697	346.464	1036.16	2072.33	
